Gym Name,	Description
Retro Fitness,Weights-Cardio
Blink Fitness,Free Trial
LA Fitness,Free 5-day pass for you and a friend (Weights-Cardio-Classes)
Crunch,Free 1-day pass (Weights-Cardio-Classes)
Push Fitness,Weights-Cardio-Classes
Planet Fitness,No free passes (Weights-Cardio)
24 Hour Fitness,Free 3-day pass (Weights-Cardio)
Mid City Gym & Tanning, Free 1-day pass (Weights-Cardio-Classes-Tanning)
Anytime Fitness,Free 7-day trial (Weights-Cardio-Classes)
New York Sports Clubs,Weights-Cardio-Classes
YMCA,Free pass (Weights-Cardio-Classes-Pool)
Lifetime Fitness, Free trial (Weights-Cardio-Classes)
Equinox,Free 1-day pass (Weights-Cardio)
Talwakars,Weights-Cardio
CrossFit,Classes
Club One Fitness,Weights-Cardio
Snap Fitness,Weights-Cardio
Curves,Classes
Iron Tribe Fitness,Weights-Cardio
Urban Body Fitness, Weight-Cardio-Classes
Just Fitness 4U,Weights-Cardio-Classes
World Gym,Weights-Cardio
Live Fit Gym,Weights-Cardio
Houston Gym,Weights
Fit Athletic Club,Cardio-Classes
Fitness Connection, Cardio
City Fitness, Weights-Cardio
Fit Gym, Weights-Cardio
YouFit, Cardio-Classes
Optimal Sport Health Clubs, Cardio-Classes
North Park Fitness,$10 day pass
Fit Athletic Club, Free Day Pass
Vertical Hold, $17 day pass (Climbing Gym)
